city,country,pub_location
Port-au- Prince,Haiti,"Port-au- Prince, Haiti"
"Woodstock, NY",United States,"Woodstock, NY, United States"
"Woodstock, NY",United States,"Woodstock, NY, United States"
"Brooklyn, NY",United States,"Brooklyn, NY, United States"
Barcelona,Spain,"Barcelona, Spain"
"Brooklyn, NY",United States,"Brooklyn, NY, United States"
London,England,"London, England"
Paris,France,"Paris, France"
"New York, NY",United States,"New York, NY, United States"
Tokyo,Japan,"Tokyo, Japan"
Barcelona,Spain,"Barcelona, Spain"
"New York, NY",United States,"New York, NY, United States"
"New York, NY",United States,"New York, NY, United States"
"New York, NY",United States,"New York, NY, United States"
"New York, NY",United States,"New York, NY, United States"
"New York, NY",United States,"New York, NY, United States"
"New York, NY",United States,"New York, NY, United States"
"Miami, FL",United States,"Miami, FL, United States"
Westminster,England,"Westminster, England"
"New York, NY",United States,"New York, NY, United States"
"New York, NY",United States,"New York, NY, United States"
"New York, NY",United States,"New York, NY, United States"
"New York, NY",United States,"New York, NY, United States"
"Miami, FL",United States,"Miami, FL, United States"
"New York, NY",United States,"New York, NY, United States"
"New York, NY",United States,"New York, NY, United States"
"New York, NY",United States,"New York, NY, United States"
"New York, NY",United States,"New York, NY, United States"
"New York, NY",United States,"New York, NY, United States"
"New York, NY",United States,"New York, NY, United States"
Westminster,England,"Westminster, England"
London,England,"London, England"
Paris,France,"Paris, France"
Paris,France,"Paris, France"
Paris,France,"Paris, France"
Paris,France,"Paris, France"
Paris,France,"Paris, France"
Paris,France,"Paris, France"
Berlin,Germany,"Berlin, Germany"
Berlin,Germany,"Berlin, Germany"
NA,NA,"NA , NA"
Barcelona,Spain,"Barcelona, Spain"
"New York, NY",United States,"New York, NY, United States"
Madrid,Spain,"Madrid, Spain"
Barcelona,Spain,"Barcelona, Spain"
"Miami, FL",United States,"Miami, FL, United States"
"Miami, FL",United States,"Miami, FL, United States"
Mexico City,Mexico,"Mexico City, Mexico"
Caracas,Venezuala,"Caracas, Venezuala"
Barcelona,Spain,"Barcelona, Spain"
"Miami, FL",United States,"Miami, FL, United States"
Barcelona,Spain,"Barcelona, Spain"
Málaga,Spain,"Málaga, Spain"
Málaga,Spain,"Málaga, Spain"
Barcelona,Spain,"Barcelona, Spain"
Barcelona,Spain,"Barcelona, Spain"
Caracas,Venezuala,"Caracas, Venezuala"
Barcelona,Spain,"Barcelona, Spain"
Madrid,Spain,"Madrid, Spain"
Barcelona,Spain,"Barcelona, Spain"
Barcelona,Spain,"Barcelona, Spain"
Barcelona,Spain,"Barcelona, Spain"
Madrid,Spain,"Madrid, Spain"
"Miami, FL",United States,"Miami, FL, United States"
Madrid,Spain,"Madrid, Spain"
"Miami, FL",United States,"Miami, FL, United States"
Barcelona,Spain,"Barcelona, Spain"
"Miami, FL",United States,"Miami, FL, United States"
"Miami, FL",United States,"Miami, FL, United States"
"Miami, FL",United States,"Miami, FL, United States"
Barcelona,Spain,"Barcelona, Spain"
"Miami, FL",United States,"Miami, FL, United States"
"Miami, FL",United States,"Miami, FL, United States"
Barcelona,Spain,"Barcelona, Spain"
"Miami, FL",United States,"Miami, FL, United States"
"Miami, FL",United States,"Miami, FL, United States"
Madrid,Spain,"Madrid, Spain"
Madrid,Spain,"Madrid, Spain"
"Miami, FL",United States,"Miami, FL, United States"
Mexico City,Mexico,"Mexico City, Mexico"
Barcelona,Spain,"Barcelona, Spain"
Saint-Nazaire,France,"Saint-Nazaire, France"
"New York, NY",United States,"New York, NY, United States"
Darmstadt,Germany,"Darmstadt, Germany"
Frankfurt,Germany,"Frankfurt, Germany"
Madrid,Spain,"Madrid, Spain"
"New York, NY",United States,"New York, NY, United States"
"New York, NY",United States,"New York, NY, United States"
"New York, NY",United States,"New York, NY, United States"
"New York, NY",United States,"New York, NY, United States"
"New York, NY",United States,"New York, NY, United States"
Paris,France,"Paris, France"
Paris,France,"Paris, France"
Paris,France,"Paris, France"
"New York, NY",United States,"New York, NY, United States"
"New York, NY",United States,"New York, NY, United States"
"New York, NY",United States,"New York, NY, United States"
London,England,"London, England"
"New York, NY",United States,"New York, NY, United States"
Beograd,Serbia,"Beograd, Serbia"
Paris,France,"Paris, France"
Bucuresti,Romania,"Bucuresti, Romania"
Darmstadt,Germany,"Darmstadt, Germany"
London,England,"London, England"
London,England,"London, England"
Helsinki,Finland,"Helsinki, Finland"
Paris,France,"Paris, France"
Paris,France,"Paris, France"
Rio de Janeiro,Brazil,"Rio de Janeiro, Brazil"
Tokyo,Japan,"Tokyo, Japan"
"New York, NY",United States,"New York, NY, United States"
"New York, NY",United States,"New York, NY, United States"
"Miami, FL",United States,"Miami, FL, United States"
"New York, NY",United States,"New York, NY, United States"
Madrid,Spain,"Madrid, Spain"
"Miami, FL",United States,"Miami, FL, United States"
Málaga,Spain,"Málaga, Spain"
"New York, NY",United States,"New York, NY, United States"
Leeds,England,"Leeds, England"
Leeds,England,"Leeds, England"
Leeds,England,"Leeds, England"
Leeds,England,"Leeds, England"
Leeds,England,"Leeds, England"
"New York, NY",United States,"New York, NY, United States"
"New York, NY",United States,"New York, NY, United States"
"Brooklyn, NY",United States,"Brooklyn, NY, United States"
Castries,St. Lucia,"Castries, St. Lucia"
Castries,St. Lucia,"Castries, St. Lucia"
Havana,Cuba,"Havana, Cuba"
"Brooklyn, NY",United States,"Brooklyn, NY, United States"
Nürnberg,Germany,"Nürnberg, Germany"
Homebush West,Australia,"Homebush West, Australia"
NA,NA,"NA , NA"
Kingston,Jamaica,"Kingston, Jamaica"
Ontario,Canada,"Ontario, Canada"
Oxford,England,"Oxford, England"
Oxford,England,"Oxford, England"
Oxford,England,"Oxford, England"
Leeds,England,"Leeds, England"
"Chicago, IL",United States,"Chicago, IL, United States"
"Tulsa, OK",United States,"Tulsa, OK, United States"
"Boston, MA",United States,"Boston, MA, United States"
"New York, NY",United States,"New York, NY, United States"
"Salt Lake City, UT",United States,"Salt Lake City, UT, United States"
"New York, NY",United States,"New York, NY, United States"
Kingston,Jamaica,"Kingston, Jamaica"
Berkeley,United States,"Berkeley, United States"
"New York, NY",United States,"New York, NY, United States"
London,England,"London, England"
Paris,France,"Paris, France"
Kingston,Jamaica,"Kingston, Jamaica"
Cambridge,England,"Cambridge, England"
Cambridge,England,"Cambridge, England"
London,England,"London, England"
Mona,Jamaica,"Mona, Jamaica"
Albuquerque,United States,"Albuquerque, United States"
London,England,"London, England"
London,England,"London, England"
London,England,"London, England"
Amherst,United States,"Amherst, United States"
Paris,France,"Paris, France"
Hanover,United States,"Hanover, United States"
London,England,"London, England"
Barcelona,Spain,"Barcelona, Spain"
San Juan,Puerto Rico,"San Juan, Puerto Rico"
San Juan,Puerto Rico,"San Juan, Puerto Rico"
San Juan,Puerto Rico,"San Juan, Puerto Rico"
Havana,Cuba,"Havana, Cuba"
Madrid,Spain,"Madrid, Spain"
Michigan,United States,"Michigan, United States"
Paris,France,"Paris, France"
St. Augustine,Trinidad & Tobago,"St. Augustine, Trinidad & Tobago"
Kingston,Jamaica,"Kingston, Jamaica"
Kingston,Jamaica,"Kingston, Jamaica"
Kingston,Jamaica,"Kingston, Jamaica"
Kingston,Jamaica,"Kingston, Jamaica"
Kingston,Jamaica,"Kingston, Jamaica"
Kingston,Jamaica,"Kingston, Jamaica"
Kingston,Jamaica,"Kingston, Jamaica"
Kingston,Jamaica,"Kingston, Jamaica"
Kingston,Jamaica,"Kingston, Jamaica"
Tulsa,United States,"Tulsa, United States"
London,England,"London, England"
Paris,France,"Paris, France"
Bloomington,United States,"Bloomington, United States"
Leeds,England,"Leeds, England"
Milan,Italy,"Milan, Italy"
Toronto,Canada,"Toronto, Canada"
Basseterre,St. Kitts,"Basseterre, St. Kitts"
Geneva,Switzerland,"Geneva, Switzerland"
San Juan,Puerto Rico,"San Juan, Puerto Rico"
Caracas,Venezuala,"Caracas, Venezuela"
Madrid,Spain,"Madrid, Spain"
Madrid,Spain,"Madrid, Spain"
Havana,Spain,"Havana, Spain"
Havana,Cuba,"Havana, Cuba"
San Juan,Puerto Rico,"San Juan, Puerto Rico"
San Juan,Puerto Rico,"San Juan, Puerto Rico"
San Juan,Puerto Rico,"San Juan, Puerto Rico"
Havana,Cuba,"Havana, Cuba"
Seville,Spain,"Seville, Spain"
Havana,Cuba,"Havana, Cuba"
Havana,Cuba,"Havana, Cuba"
Vedado,Cuba,"Vedado, Cuba"
Havana,Cuba,"Havana, Cuba"
Havana,Cuba,"Havana, Cuba"
Havana,Cuba,"Havana, Cuba"
Havana,Cuba,"Havana, Cuba"
Havana,Cuba,"Havana, Cuba"
Buenos Aires,Argentina,"Buenos Aires, Argentina"
Havana,Cuba,"Havana, Cuba"
Rosario,Argentina,"Rosario, Argentina"
Havana,Cuba,"Havana, Cuba"
Seville,Spain,"Seville, Spain"
Seville,Spain,"Seville, Spain"
Mexico City,Mexico,"Mexico City, Mexico"
Bogotá,Columbia,"Bogotá, Columbia"
Madrid,Spain,"Madrid, Spain"
Seville,Spain,"Seville, Spain"
Bogotá,Columbia,"Bogotá, Columbia"
Bogotá,Columbia,"Bogotá, Columbia"
London,England,"London, England"
Alexandria,Egypt,"Alexandria, Egypt"
"Alexandria, VA",United States,"Alexandria, VA, United States"
"Alexandria, VA",United States,"Alexandria, VA, United States"
"Alexandria, VA",United States,"Alexandria, VA, United States"
Sana Cruz,Trinidad & Tobago,"Sana Cruz, Trinidad & Tobago"
"New York, NY",United States,"New York, NY, United States"
"Minneapolis, MN",United States,"Minneapolis, MN, United States"
"New York, NY",United States,"New York, NY, United States"
"New York, NY",United States,"New York, NY, United States"
Toronto,Canada,"Toronto, Canada"
Toronto,Canada,"Toronto, Canada"
Toronto,Canada,"Toronto, Canada"
Toronto,Canada,"Toronto, Canada"
London,England,"London, England"
Kingston,Jamaica,"Kingston, Jamaica"
"New York, NY",United States,"New York, NY, United States"
Kingston,Jamaica,"Kingston, Jamaica"
London,England,"London, England"
Oxford,England,"Oxford, England"
Oxford,England,"Oxford, England"
Oxford,England,"Oxford, England"
Oxford,England,"Oxford, England"
Oxford,England,"Oxford, England"
Cambridge,England,"Cambridge, England"
"Madison, WI",United States,"Madison, WI, United States"
Kingston,Jamaica,"Kingston, Jamaica"
Kingston,Jamaica,"Kingston, Jamaica"
Kingston,Jamaica,"Kingston, Jamaica"
Kingston,Jamaica,"Kingston, Jamaica"
Kingston,Jamaica,"Kingston, Jamaica"
London,England,"London, England"
Buenos Aires,Caracas,"Buenos Aires, Caracas"
Oxford,England,"Oxford, England"
London,England,"London, England"
London,England,"London, England"
London,England,"London, England"
Oxford,England,"Oxford, England"
Mona,Jamaica,"Mona, Jamaica"
London,England,"London, England"
"Madison, WI",United States,"Madison, WI, United States"
London,England,"London, England"
"Ann Arbor, MI",United States,"Ann Arbor, MI, United States"
Mysore,India,"Mysore, India"
Kingston,Jamaica,"Kingston, Jamaica"
"Middletown, CT",United States,"Middletown, CT, United States"
"New York, NY",United States,"New York, NY, United States"
"Providence, RI",United States,"Providence, RI, United States"
"Middletown, CT",United States,"Middletown, CT, United States"
"New York, NY",United States,"New York, NY, United States"
"New York, NY",United States,"New York, NY, United States"
London,England,"London, England"
London,England,"London, England"
Mona,Jamaica,"Mona, Jamaica"
Mona,Jamaica,"Mona, Jamaica"
Oxford,England,"Oxford, England"
Mona,Jamaica,"Mona, Jamaica"
London,England,"London, England"
Mona,Jamaica,"Mona, Jamaica"
London,England,"London, England"
"Middletown, CT",United States,"Middletown, CT, United States"
"New York, NY",United States,"New York, NY, United States"
Philipsburg,St. Martin,"Philipsburg, St. Martin"
Leeds,England,"Leeds, England"
Leeds,England,"Leeds, England"
London,England,"London, England"
Cave Hill,Barbados,"Cave Hill , Barbados"
Ann Arbor,United States,"Ann Arbor, United States"
London,England,"London, England"
Kingston,Jamaica,"Kingston, Jamaica"
Baltimore,United States,"Baltimore, United States"
Norman,United States,"Norman, United States"
"New York, NY",United States,"New York, NY, United States"
Leeds,England,"Leeds, England"
Kingston,Jamaica,"Kingston, Jamaica"
Philipsburg,St. Martin,"Philipsburg, St. Martin"
Yorkshire,England,"Yorkshire, England"
Leeds,England,"Leeds, England"
Hudson,United States,"Hudson, United States"
Hudson,United States,"Hudson, United States"
"New York, NY",United States,"New York, NY, United States"
Mona,Jamaica,"Mona, Jamaica"
Mona,Jamaica,"Mona, Jamaica"
Bremen,Germany,"Bremen, Germany"
Mona,Jamaica,"Mona, Jamaica"
Oxford,England,"Oxford, England"
Kingston,Jamaica,"Kingston, Jamaica"
Auckland,New Zealand,"Auckland, New Zealand"
Harlow,England,"Harlow, England"
London,England,"London, England"
Oxford,England,"Oxford, England"
Mona,Jamaica,"Mona, Jamaica"
London,England,"London, England"
Kingston,Jamaica,"Kingston, Jamaica"
London,England,"London, England"
London,England,"London, England"
Ealing,England,"Ealing, England"
London,England,"London, England"
London,England,"London, England"
"Ann Arbor, MI",United States,"Ann Arbor, MI, United States"
London,England,"London, England"
"Ann Arbor, MI",United States,"Ann Arbor, MI, United States"
London,England,"London, England"
London,England,"London, England"
Oxford,England,"Oxford, England"
London,England,"London, England"
Oxford,England,"Oxford, England"
Kingston,Jamaica,"Kingston, Jamaica"
Mona,Jamaica,"Mona, Jamaica"
Havana,Cuba,"Havana, Cuba"
"Middletown, CT",United States,"Middletown, CT, United States"
Leuven,Belgium,"Leuven, Belgium"
Mexico City,Mexico,"Mexico City, Mexico"
Havana,Cuba,"Havana, Cuba"
Plounéour-Ménez,France,"Plounéour-Ménez, France"
Montreal,Canada,"Montreal, Canada"
Cromer,England,"Cromer, England"
"Middletown, CT",United States,"Middletown, CT, United States"
"New York, NY",United States,"New York, NY, United States"
"New York, NY",United States,"New York, NY, United States"
Kingston,Jamaica,"Kingston, Jamaica"
Staten Island,United States,"Staten Island, United States"
Mona,Jamaica,"Mona, Jamaica"
Springfield,United States,"Springfield, United States"
London,England,"London, England"
Lanham,United States,"Lanham, United States"
"New York, NY",United States,"New York, NY, United States"
"New York, NY",United States,"New York, NY, United States"
Kingston,Jamaica,"Kingston, Jamaica"
Mona,Jamaica,"Mona, Jamaica"
"New York, NY",United States,"New York, NY, United States"
London,England,"London, England"
London,England,"London, England"
London,England,"London, England"
Harlow,England,"Harlow, England"
Oxford,England,"Oxford, England"
St. Clair,Trinidad & Tobago,"St. Clair, Trinidad & Tobago"
Leicester,England,"Leicester, England"
"Middletown, CT",United States,"Middletown, CT, United States"
Montréal,Canada,"Montréal, Canada"
Kourou,French Guiana,"Kourou, French Guiana"
Oxford,England,"Oxford, England"
Montevideo,Uraguay,"Montevideo, Uruguay"
Havana,Cuba,"Havana, Cuba"
Paris,France,"Paris, France"
London,England,"London, England"
"New York, NY",United States,"New York, NY, United States"
"New York, NY",United States,"New York, NY, United States"
Berkeley,United States,"Berkeley, United States"
London,England,"London, England"
Mexico City,Mexico,"Mexico City, Mexico"
Mexico City,Mexico,"Mexico City, Mexico"
Barcelona,Spain,"Barcelona, Spain"
Bogota,Colombia,"Bogota, Colombia"
Barcelona,Spain,"Barcelona, Spain"
NA,Spain,"NA, Spain"
Barcelona,Spain,"Barcelona, Spain"
"New York, NY",United States,"New York, NY, United States"
"New York, NY",United States,"New York, NY, United States"
London,England,"London, England"
"New York, NY",United States,"New York, NY, United States"
São Paulo,Brazil,"São Paulo, Brazil"
Barcelona,Spain,"Barcelona, Spain"
Barcelona,Spain,"Barcelona, Spain"
Bogota,Colombia,"Bogota, Colombia"
Bogota,Colombia,"Bogota, Colombia"
Barcelona,Spain,"Barcelona, Spain"
Bogota,Colombia,"Bogota, Colombia"
Bogota,Colombia,"Bogota, Colombia"
Barcelona,Spain,"Barcelona, Spain"
Barcelona,Spain,"Barcelona, Spain"
Bogota,Colombia,"Bogota, Colombia"
Barcelona,Spain,"Barcelona, Spain"
Madrid,Spain,"Madrid, Spain"
Esplugues de Llobregat,Spain,"Esplugues de Llobregat, Spain"
Caracas,Venezuala,"Caracas, Venezuala"
Málaga,Spain,"Málaga, Spain"
Barcelona,Spain,"Barcelona, Spain"
Paris,France,"Paris, France"
Paris,France,"Paris, France"
Paris,France,"Paris, France"
Frankfurt,Germany,"Frankfurt, Germany"
Frankfurt,Germany,"Frankfurt, Germany"
Frankfurt,Germany,"Frankfurt, Germany"
Frankfurt,Germany,"Frankfurt, Germany"
Tokyo,Japan,"Tokyo, Japan"
Paris,France,"Paris, France"
Paris,France,"Paris, France"
Paris,France,"Paris, France"
London,England,"London, England"
Barcelona,Spain,"Barcelona, Spain"
Paris,France,"Paris, France"
Zurich,Switzerland,"Zurich, Switzerland"
London,England,"London, England"
Brussels,England,"Brussels, England"
Georgetown,Guyana,"Georgetown, Guyana"
Jannali,Australia,"Jannali, Australia"
Lafayette,United States,"Lafayette, United States"
Spanish Town,Jamaica,"Spanish Town, Jamaica"
"New York, NY",United States,"New York, NY, United States"
"Boston, MA",United States,"Boston, MA, United States"
Manchester,England,"Manchester, England"
Paris,France,"Paris, France"
Paris,France,"Paris, France"
Paris,France,"Paris, France"
Missoula,United States,"Missoula, United States"
"New York, NY",United States,"New York, NY, United States"
Copenhagen,Denmark,"Copenhagen, Denmark"
Bukarest,Romania,"Bukarest, Romania"
"New York, NY",United States,"New York, NY, United States"
"New York, NY",United States,"New York, NY, United States"
"New York, NY",United States,"New York, NY, United States"
"New York, NY",United States,"New York, NY, United States"
"New York, NY",United States,"New York, NY, United States"
"Minneapolis, MN",United States,"Minneapolis, MN, United States"
"New York, NY",United States,"New York, NY, United States"
"New York, NY",United States,"New York, NY, United States"
"Springfield, MA",United States,"Springfield, MA, United States"
"New York, NY",United States,"New York, NY, United States"
"San Francisco, CA",United States,"San Francisco, CA, United States"
"San Francisco, CA",United States,"San Francisco, CA, United States"
"San Francisco, CA",United States,"San Francisco, CA, United States"
"San Francisco, CA",United States,"San Francisco, CA, United States"
London,England,"London, England"
London,England,"London, England"
Tulsa,United States,"Tulsa, United States"
Paris,France,"Paris, France"
Paris,France,"Paris, France"
Paris,France,"Paris, France"
Palermo,Italy,"Palermo, Italy"
"New York, NY",United States,"New York, NY, United States"
Poitiers,France,"Poitiers, France"
Havana,Cuba,"Havana, Cuba"
Madrid,Spain,"Madrid, Spain"
Mexico City,Mexico,"Mexico City, Mexico"
Madrid,Spain,"Madrid, Spain"
Tres Cantos,Spain,"Tres Cantos, Spain"
Madrid,Spain,"Madrid, Spain"
Barcelona,Spain,"Barcelona, Spain"
Madrid,Spain,"Madrid, Spain"
Barcelona,Spain,"Barcelona, Spain"
Mexico City,Mexico,"Mexico City, Mexico"
Mexico City,Mexico,"Mexico City, Mexico"
Mexico City,Mexico,"Mexico City, Mexico"
Mexico City,Mexico,"Mexico City, Mexico"
Barcelona,Spain,"Barcelona, Spain"
Barcelona,Spain,"Barcelona, Spain"
Barcelona,Spain,"Barcelona, Spain"
"New York, NY",United States,"New York, NY, United States"
"New York, NY",United States,"New York, NY, United States"
Lutz,United States,"Lutz, United States"
Havana,Cuba,"Havana, Cuba"
Mexico City,Mexico,"Mexico City, Mexico"
Madrid,Spain,"Madrid, Spain"
Madrid,Spain,"Madrid, Spain"
Madrid,Spain,"Madrid, Spain"
Madrid,Spain,"Madrid, Spain"
Mexico City,Mexico,"Mexico City, Mexico"
Mexico City,Mexico,"Mexico City, Mexico"
Madrid,Spain,"Madrid, Spain"
Frankfurt,Germany,"Frankfurt, Germany"
Havana,Cuba,"Havana, Cuba"
Tafalla,Spain,"Tafalla, Spain"
"New York, NY",United States,"New York, NY, United States"
Havana,Cuba,"Havana, Cuba"
Barcelona,Spain,"Barcelona, Spain"
Oxford,New Zealand,"Oxford, New Zealand"
"Brooklyn, NY",United States,"Brooklyn, NY, United States"
Paris,France,"Paris, France"
NA,NA,"NA, NA"
Buenos Aires,Argentina,"Buenos Aires, Argentina"
Mexico City,Mexico,"Mexico City, Mexico"
Mexico City,Mexico,"Mexico City, Mexico"
Mexico City,Mexico,"Mexico City, Mexico"
Mexico City,Mexico,"Mexico City, Mexico"
"New York, NY",United States,"New York, NY, United States"
Mexico City,Mexico,"Mexico City, Mexico"
Mexico City,Mexico,"Mexico City, Mexico"
Mexico City,Mexico,"Mexico City, Mexico"
Lutz,United States,"Lutz, United States"
Kingston,Jamaica,"Kingston, Jamaica"
Havana,Cuba,"Havana, Cuba"
London,England,"London, England"
"Chapel Hill, NC",United States,"Chapel Hill, NC, United States"
"Chapel Hill, NC",United States,"Chapel Hill, NC, United States"
Matoury,French Guiana,"Matoury, French Guiana"
Oxford,England,"Oxford, England"
Paris,France,"Paris, France"
"Oakland, CA",United States,"Oakland, CA, United States"
Paris,France,"Paris, France"
Paris,France,"Paris, France"
Fort-de-France,Martinique,"Fort-de-France, Martinique"
"Middletown, CT",United States,"Middletown, CT, United States"
"New York, NY",United States,"New York, NY, United States"
"New York, NY",United States,"New York, NY, United States"
"New York, NY",United States,"New York, NY, United States"
"Charlottesville, VA",United States,"Charlottesville, VA, United States"
Paris,France,"Paris, France"
Paris,France,"Paris, France"
Paris,France,"Paris, France"
Paris,France,"Paris, France"
Paris,France,"Paris, France"
Paris,France,"Paris, France"
Paris,France,"Paris, France"
Paris,France,"Paris, France"
Paris,France,"Paris, France"
Paris,France,"Paris, France"
Paris,France,"Paris, France"
Paris,France,"Paris, France"
Paris,France,"Paris, France"
Paris,France,"Paris, France"
Paris,France,"Paris, France"
Paris,France,"Paris, France"
Paris,France,"Paris, France"
Paris,France,"Paris, France"
Paris,France,"Paris, France"
Munich,Germany,"Munich, Germany"
"Middletown, CT",United States,"Middletown, CT, United States"
"Stanford, CA",United States,"Stanford, CA, United States"
"Pasadena, CA",United States,"Pasadena, CA, United States"
"New York, NY",United States,"New York, NY, United States"
"Durham, NC",England,"Durham, NC, England"
"New York, NY",United States,"New York, NY, United States"
"New York, NY",United States,"New York, NY, United States"
"New York, NY",United States,"New York, NY, United States"
Fort-de-France,Martinique,"Fort-de-France, Martinique"
Port of Spain,Trinidad & Tobago,"Port of Spain, Trinidad & Tobago"
"Lincoln, NE",United States,"Lincoln, NE, United States"
"Lincoln, NE",United States,"Lincoln, NE, United States"
Paris,France,"Paris, France"
Paris,France,"Paris, France"
Paris,France,"Paris, France"
Paris,France,"Paris, France"
Paris,France,"Paris, France"
Paris,France,"Paris, France"
Paris,France,"Paris, France"
"New York, NY",United States,"New York, NY, United States"
"New York, NY",United States,"New York, NY, United States"
Fort-de-France,Martinique,"Fort-de-France, Martinique"
Paris,France,"Paris, France"
Paris,France,"Paris, France"
Paris,France,"Paris, France"
Paris,France,"Paris, France"
"New York, NY",United States,"New York, NY, United States"
Waterloo,Canada,"Waterloo, Canada"
"Urbana, IL",United States,"Urbana, IL, United States"
Leeds,United States,"Leeds, United States"
London,England,"London, England"
Paris,France,"Paris, France"
"Somerville, MA",United States,"Somerville, MA, United States"
Vigo,Spain,"Vigo, Spain"
"Tallahassee, FL",United States,"Tallahassee, FL, United States"
Carlton,Australia,"Carlton, Australia"
London,England,"London, England"
London,England,"London, England"
Kingston,Jamaica,"Kingston, Jamaica"
Toronto,Canada,"Toronto, Canada"
Toronto,Canada,"Toronto, Canada"
Toronto,Canada,"Toronto, Canada"
Toronto,Canada,"Toronto, Canada"
Toronto,Canada,"Toronto, Canada"
"Boston, MA",United States,"Boston, MA, United States"
"New York, NY",United States,"New York, NY, United States"
Toronto,Canada,"Toronto, Canada"
"Boston, MA",United States,"Boston, MA, United States"
Markham,Canada,"Markham, Canada"
Toronto,Canada,"Toronto, Canada"
Markham,Canada,"Markham, Canada"
Toronto,Canada,"Toronto, Canada"
Kingston,Jamaica,"Kingston, Jamaica"
Kingston,Jamaica,"Kingston, Jamaica"
London,England,"London, England"
Toronto,Canada,"Toronto, Canada"
"New York, NY",United States,"New York, NY, United States"
Don Mills,Canada,"Don Mills, Canada"
London,England,"London, England"
Toronto,Canada,"Toronto, Canada"
Toronto,Canada,"Toronto, Canada"
Toronto,Canada,"Toronto, Canada"
Toronto,Canada,"Toronto, Canada"
Toronto,Canada,"Toronto, Canada"
Toronto,Canada,"Toronto, Canada"
Toronto,Canada,"Toronto, Canada"
Dublin,Ireland,"Dublin, Ireland"
Toronto,Canada,"Toronto, Canada"
"New York, NY",United States,"New York, NY , United States"
Ashland,United States,"Ashland, United States"
Toronto,Canada,"Toronto, Canada"
"New York, NY",United States,"New York, NY , United States"
"New York, NY",United States,"New York, NY, United States"
London,England,"London, England"
"Brooklyn, NY",United States,"Brooklyn, NY, United States"
"New York, NY",United States,"New York, NY, United States"
Havana,Cuba,"Havana, Cuba"
"New York, NY",United States,"New York, NY, United States"
Havana,Cuba,"Havana, Cuba"
Havana,Cuba,"Havana, Cuba"
Havana,Cuba,"Havana, Cuba"
Havana,Cuba,"Havana, Cuba"
Havana,Cuba,"Havana, Cuba"
Havana,Cuba,"Havana, Cuba"
Havana,Cuba,"Havana, Cuba"
Havana,Cuba,"Havana, Cuba"
Havana,Cuba,"Havana, Cuba"
Havana,Cuba,"Havana, Cuba"
Havana,Cuba,"Havana, Cuba"
Havana,Cuba,"Havana, Cuba"
Havana,Cuba,"Havana, Cuba"
Havana,Cuba,"Havana, Cuba"
Havana,Cuba,"Havana, Cuba"
Havana,Cuba,"Havana, Cuba"
Havana,Cuba,"Havana, Cuba"
Havana,Cuba,"Havana, Cuba"
Havana,Cuba,"Havana, Cuba"
